NombreDepto,mpio_cdpmp,NombreEntidad,Población,Periodo
Meta,50006,Acacías,64287.0,2012
Meta,50110,Barranca de Upía,3703.0,2012
Meta,50124,Cabuyaro,3907.0,2012
Meta,50150,Castilla la Nueva,8787.0,2012
Meta,50223,Cubarral,5717.0,2012
Meta,50226,Cumaral,17623.0,2012
Meta,50245,El Calvario,2259.0,2012
Meta,50251,El Castillo,6528.0,2012
Meta,50270,El Dorado,3397.0,2012
Meta,50287,Fuente de Oro,12604.0,2012
Meta,50313,Granada,58503.0,2012
Meta,50318,Guamal,9241.0,2012
Meta,50325,Mapiripán,15978.0,2012
Meta,50330,Mesetas,11096.0,2012
Meta,50350,La Macarena,30117.0,2012
Meta,50370,Uribe,15012.0,2012
Meta,50400,Lejanías,9478.0,2012
Meta,50450,Puerto Concordia,19317.0,2012
Meta,50568,Puerto Gaitán,18207.0,2012
Meta,50573,Puerto López,32108.0,2012
Meta,50577,Puerto Lleras,10136.0,2012
Meta,50590,Puerto Rico,18309.0,2012
Meta,50606,Restrepo,10511.0,2012
Meta,50680,San Carlos de Guaroa,8584.0,2012
Meta,50683,San Juan de Arama,8948.0,2012
Meta,50686,San Juanito,2078.0,2012
Meta,50689,San Martín,23694.0,2012
Meta,50711,Vistahermosa,24154.0,2012
Meta,50900,Pendiente Certificar IGAC Atarraya Oeste  - Meta,,2012
Meta,50999,Municipio sin Determinar (Meta),,2012
Nariño,52000,Nariño,9944895.0,2012
Nariño,52001,Pasto,423217.0,2012
Nariño,52019,Albán,21270.0,2012
Nariño,52022,Aldana,6320.0,2012
Nariño,52036,Ancuyá,7607.0,2012
Nariño,52051,Arboleda,7523.0,2012
Nariño,52079,Barbacoas,35406.0,2012
Nariño,52083,Belén,7230.0,2012
Nariño,52110,Buesaco,24179.0,2012
Nariño,52203,Colón,10005.0,2012
Nariño,52207,Consaca,9674.0,2012
Nariño,52210,Contadero,6875.0,2012
Nariño,52215,Córdoba,13889.0,2012
Nariño,52224,Cuaspud,8447.0,2012
Nariño,52227,Cumbal,35540.0,2012
Nariño,52233,Cumbitara,13982.0,2012
Nariño,52240,Chachagüí,13504.0,2012
Nariño,52250,El Charco,33085.0,2012
Nariño,52254,El Peñol,6616.0,2012
Nariño,52256,El Rosario,10575.0,2012
Nariño,52258,El Tablón de Gómez,13122.0,2012
Nariño,52260,El Tambo,12817.0,2012
Nariño,52287,Funes,6645.0,2012
Nariño,52317,Guachucal,16029.0,2012
Nariño,52320,Guaitarilla,12498.0,2012
Nariño,52323,Gualmatán,5747.0,2012
Nariño,52352,Iles,8435.0,2012
Nariño,52354,Imués,6598.0,2012
Nariño,52356,Ipiales,129362.0,2012
